#PI: Shappee 
#OBJECT: SN 2011fe 
#JD: 2457104.01466 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4517.3 3.1246727e-15 
4518.7 3.365786e-15 
4520.2 3.4317681e-15 
4521.6 3.3450641e-15 
4523.1 3.1503105e-15 
4524.6 3.4745667e-15 
4526.0 3.2179967e-15 
4527.5 3.227798e-15 
4529.0 3.0949977e-15 
4530.4 3.2984728e-15 
4531.9 3.5226419e-15 
4533.4 3.3077934e-15 
4534.8 3.5206953e-15 
4536.3 3.4868904e-15 
4537.7 3.4680883e-15 
4539.2 3.7878178e-15 
4540.7 3.635477e-15 
4542.1 3.7364931e-15 
4543.6 3.8306841e-15 
4545.1 3.8619256e-15 
4546.5 3.8489707e-15 
4548.0 3.5267023e-15 
4549.5 3.7470331e-15 
4550.9 3.7976072e-15 
4552.4 3.57519e-15 
4553.8 3.7094084e-15 
4555.3 3.7054844e-15 
4556.8 3.8770902e-15 
4558.2 4.0590894e-15 
4559.7 4.0178486e-15 
4561.2 3.9564765e-15 
4562.6 3.7704814e-15 
4564.1 3.9201476e-15 
4565.5 4.0929484e-15 
4567.0 4.1099164e-15 
4568.5 3.8881762e-15 
4569.9 4.1144032e-15 
4571.4 4.2510402e-15 
4572.9 4.2506097e-15 
4574.3 4.2925044e-15 
4575.8 4.0229228e-15 
4577.3 4.2640605e-15 
4578.7 4.3628187e-15 
4580.2 4.1977495e-15 
4581.6 4.0929321e-15 
4583.1 4.2974903e-15 
4584.6 4.2738675e-15 
4586.0 4.4583259e-15 
4587.5 4.4330064e-15 
4589.0 4.3559134e-15 
4590.4 4.4047267e-15 
4591.9 4.4779304e-15 
4593.4 4.398589e-15 
4594.8 4.5149311e-15 
4596.3 4.4029652e-15 
4597.7 4.3487739e-15 
4599.2 4.2792052e-15 
4600.7 4.4071164e-15 
4602.1 4.489961e-15 
4603.6 4.6546225e-15 
4605.1 4.6094256e-15 
4606.5 4.6539558e-15 
4608.0 4.5986399e-15 
4609.5 4.8630246e-15 
4610.9 4.8275113e-15 
