# SNID ztf24abodysq
# OBSERVER = Rich/Wise/Hinds
# RA 241.67929166666667
# OBS_DATE 2025-01-05 13:23:47.93
# MJD 60680.55819363
# DEC 16.32327777777778
# INSTRUMENT KAST
#wavelength flux flux_err
4091.43355360 -0.00745309 0.05815215
4092.44453111 -0.10685168 0.05899465
4093.45550862 0.01554620 0.05854662
4094.46648613 0.14207770 0.05771330
4095.47746364 -0.02120744 0.05929293
4096.48844115 0.04544915 0.05908567
4097.49941866 0.17945969 0.05811254
4098.51039617 0.13892232 0.05715482
4099.52137368 0.11253011 0.05595930
4100.53235118 0.01653569 0.05484458
4101.54332869 0.05754641 0.05380366
4102.55430620 0.07499612 0.05292322
4103.56528371 0.04418153 0.05487420
4104.57626122 0.09587310 0.05496965
4105.58723873 -0.00837731 0.05734420
4106.59821624 0.03302279 0.05650495
4107.60919375 0.10382079 0.05559238
4108.62017126 0.10538249 0.05670773
4109.63114877 0.03374437 0.05582520
4110.64212628 0.09804191 0.05675792
4111.65310379 0.05997153 0.05622669
4112.66408130 0.01542108 0.05508093
4113.67505881 0.15341274 0.05694380
4114.68603632 0.07479322 0.05703294
4115.69701383 0.05019182 0.05587354
4116.70799133 0.13756362 0.05735834
4117.71896884 0.10291021 0.05588303
4118.72994635 0.05954449 0.05507202
4119.74092386 -0.08062539 0.05540269
4120.75190137 0.07009707 0.05702768
4121.76287888 0.10919233 0.05888719
4122.77385639 0.03783662 0.05725055
4123.78483390 0.09922762 0.05591967
4124.79581141 0.01791485 0.05720224
4125.80678892 0.19254203 0.06042790
4126.81776643 0.03986700 0.05887467
4127.82874394 -0.00192497 0.05739866
4128.83972145 0.13228925 0.05795966
4129.85069896 0.07183154 0.05676294
4130.86167647 0.04407912 0.05707639
4131.87265397 0.16483527 0.05742830
4132.88363148 0.10235772 0.05674628
4133.89460899 0.01758530 0.05805707
4134.90558650 0.13289304 0.06201873
4135.91656401 0.17772649 0.05952308
4136.92754152 0.15240388 0.05899690
4137.93851903 0.04070304 0.05912936
4138.94949654 -0.09529471 0.05982851
4139.96047405 -0.02108879 0.06123301
4140.97145156 0.11681928 0.05965976
4141.98242907 0.10938238 0.05649609
4142.99340658 0.14845842 0.05702328
4144.00438409 0.02816675 0.05578677
4145.01536160 0.14929180 0.05623092
4146.02633911 0.11015718 0.05668191
4147.03731661 0.09419793 0.05844297
