5594.43200895353  1.048319E-16
5597.4734191382  1.097714E-16
5600.51482932287  1.141678E-16
5603.55623950754  1.117141E-16
5606.5976496922  1.151140E-16
5609.63905987687  1.133504E-16
5612.68047006154  1.088132E-16
5615.7218802462  1.095641E-16
5618.76329043087  1.144363E-16
5621.80470061554  1.169119E-16
5624.8461108002  1.178617E-16
5627.88752098487  1.242997E-16
5630.92893116954  1.207687E-16
5633.9703413542  1.206751E-16
5637.01175153887  1.196161E-16
5640.05316172354  1.168974E-16
5643.09457190821  1.228405E-16
5646.13598209287  1.215871E-16
5649.17739227754  1.224762E-16
5652.21880246221  1.346959E-16
5655.26021264687  1.278026E-16
5658.30162283154  1.235033E-16
5661.34303301621  1.278417E-16
5664.38444320087  1.269705E-16
5667.42585338554  1.310641E-16
5670.46726357021  1.318075E-16
5673.50867375488  1.335411E-16
5676.55008393954  1.295209E-16
5679.59149412421  1.368358E-16
5682.63290430888  1.342730E-16
5685.67431449354  1.298632E-16
5688.71572467821  1.307556E-16
5691.75713486288  1.297949E-16
5694.79854504755  1.283516E-16
5697.83995523221  1.224334E-16
5700.88136541688  1.201873E-16
5703.92277560154  1.203952E-16
5706.96418578621  1.157746E-16
5710.00559597088  1.131183E-16
5713.04700615555  1.125922E-16
5716.08841634021  1.122892E-16
5719.12982652488  1.095893E-16
5722.17123670955  1.047976E-16
5725.21264689421  1.021262E-16
5728.25405707888  9.723625E-17
5731.29546726355  9.107117E-17
5734.33687744822  9.133793E-17
5737.37828763288  9.275171E-17
5740.41969781755  8.613363E-17
5743.46110800222  7.854084E-17
5746.50251818688  8.459515E-17
5749.54392837155  8.766623E-17
5752.58533855622  7.644511E-17
5755.62674874089  7.517817E-17
5758.66815892555  7.390227E-17
5761.70956911022  7.394409E-17
5764.75097929488  6.981388E-17
5767.79238947955  6.889479E-17
5770.83379966422  7.088264E-17
5773.87520984889  6.547423E-17
5776.91662003355  6.565368E-17
5779.95803021822  5.746943E-17
5782.99944040289  4.798982E-17
5786.04085058755  5.256947E-17
5789.08226077222  5.532702E-17
5792.12367095689  5.348777E-17
5795.16508114156  5.553182E-17
5798.20649132622  5.824421E-17
5801.24790151089  6.113174E-17
5804.28931169556  6.055362E-17
5807.33072188022  5.518012E-17
5810.37213206489  5.728148E-17
5813.41354224956  5.681321E-17
5816.45495243422  5.902253E-17
5819.49636261889  5.956753E-17
5822.53777280356  5.968124E-17
5825.57918298823  6.441021E-17
5828.62059317289  6.116163E-17
5831.66200335756  6.167473E-17
5834.70341354223  5.266714E-17
5837.74482372689  6.282558E-17
5840.78623391156  6.532814E-17
5843.82764409623  6.786245E-17
5846.86905428089  6.156897E-17
5849.91046446556  5.822029E-17
5852.95187465023  6.188053E-17
5855.99328483489  7.137110E-17
5859.03469501956  6.788687E-17
5862.07610520423  6.878639E-17
