5478.85842193619  1.387003E-15
5481.89983212085  1.329673E-15
5484.94124230552  1.329342E-15
5487.98265249019  1.333973E-15
5491.02406267486  1.358804E-15
5494.06547285952  1.329559E-15
5497.10688304419  1.263329E-15
5500.14829322886  1.234947E-15
5503.18970341352  1.199688E-15
5506.23111359819  1.199884E-15
5509.27252378286  1.195502E-15
5512.31393396752  1.270567E-15
5515.35534415219  1.217373E-15
5518.39675433686  1.272511E-15
5521.43816452153  1.220001E-15
5524.47957470619  1.156925E-15
5527.52098489086  1.216004E-15
5530.56239507553  1.319729E-15
5533.60380526019  1.277717E-15
5536.64521544486  1.297006E-15
5539.68662562953  1.297747E-15
5542.72803581419  1.312466E-15
5545.76944599886  1.361686E-15
5548.81085618353  1.363381E-15
5551.85226636819  1.399888E-15
5554.89367655286  1.433340E-15
5557.93508673753  1.381472E-15
5560.9764969222  1.462762E-15
5564.01790710686  1.415654E-15
5567.05931729153  1.434993E-15
5570.1007274762  1.516592E-15
5573.14213766086  1.530103E-15
5576.18354784553  1.589199E-15
5579.2249580302  1.531668E-15
5582.26636821487  1.537875E-15
5585.30777839953  1.544081E-15
5588.3491885842  1.550288E-15
5591.39059876887  1.556495E-15
5594.43200895353  1.562702E-15
5597.4734191382  1.571167E-15
5600.51482932287  1.579810E-15
5603.55623950754  1.547684E-15
5606.5976496922  1.600574E-15
5609.63905987687  1.580120E-15
5612.68047006154  1.537278E-15
5615.7218802462  1.553808E-15
5618.76329043087  1.552609E-15
5621.80470061554  1.509791E-15
5624.8461108002  1.545878E-15
5627.88752098487  1.584245E-15
5630.92893116954  1.580041E-15
5633.9703413542  1.593189E-15
5637.01175153887  1.571020E-15
5640.05316172354  1.606940E-15
5643.09457190821  1.617636E-15
5646.13598209287  1.582698E-15
5649.17739227754  1.561662E-15
5652.21880246221  1.541698E-15
5655.26021264687  1.555310E-15
5658.30162283154  1.475295E-15
5661.34303301621  1.509154E-15
5664.38444320087  1.505385E-15
5667.42585338554  1.505657E-15
5670.46726357021  1.609142E-15
5673.50867375488  1.564600E-15
5676.55008393954  1.594777E-15
5679.59149412421  1.541393E-15
5682.63290430888  1.539284E-15
5685.67431449354  1.515953E-15
5688.71572467821  1.480336E-15
5691.75713486288  1.573874E-15
5694.79854504755  1.563194E-15
5697.83995523221  1.505886E-15
5700.88136541688  1.515721E-15
5703.92277560154  1.489848E-15
5706.96418578621  1.586730E-15
5710.00559597088  1.510999E-15
5713.04700615555  1.419714E-15
5716.08841634021  1.455633E-15
5719.12982652488  1.486969E-15
5722.17123670955  1.493250E-15
5725.21264689421  1.528717E-15
5728.25405707888  1.468730E-15
5731.29546726355  1.470069E-15
5734.33687744822  1.440910E-15
5737.37828763288  1.447998E-15
5740.41969781755  1.453896E-15
