#wavelength spec_sum
6247.08 4662.11
6249.94 4583.09
6252.79 4637.2
6255.65 4592.37
6258.5 4825.76
6261.36 4171.23
6264.21 4302.68
6267.07 4384.19
6269.92 4199.09
6272.78 4145.39
6275.63 4673.68
6278.49 4076.61
6281.34 3761.63
6284.19 3680.28
6287.05 3494.43
6289.9 3658.06
6292.75 3812.58
6295.61 3763.87
6298.46 3525.31
6301.31 3906.13
6304.17 4470.35
6307.02 3598.53
6309.87 3838.12
6312.72 2624.33
6315.58 3107.43
6318.43 2889.47
6321.28 3780.17
6324.13 3580.02
6326.98 3436
6329.84 3539.84
6332.69 3767.06
6335.54 3109.32
6338.39 3820.28
6341.24 3420.72
6344.09 3182.82
6346.94 3482.02
6349.79 3467.19
6352.64 3540.5
6355.5 3302.94
6358.35 3541.18
6361.2 3736.27
6364.05 3974.52
6366.9 3201.36
6369.75 3437.1
6372.6 3882.83
6375.44 3511.78
6378.29 3749.45
6381.14 3583.71
6383.99 3686
6386.84 3757.82
6389.69 4003.88
6392.54 4099.54
6395.39 4100.11
6398.24 3555.12
6401.08 3735.95
6403.93 4252.32
6406.78 4230.13
6409.63 3878.82
6412.48 4561.94
6415.32 4424.4
6418.17 4537.07
6421.02 4098.61
6423.87 4665.33
6426.71 4662.18
6429.56 4789.3
6432.41 4691.66
6435.25 4431.19
6438.1 5002.64
6440.95 4290.19
6443.79 4906.89
6446.64 4631.69
6449.49 4762.15
6452.33 4910.67
6455.18 4901.48
6458.02 4870.98
6460.87 5072.69
6463.71 5240.51
6466.56 5278.31
6469.4 4944.81
6472.25 4990.15
6475.09 4747.98
6477.94 4825.29
6480.78 5077.29
6483.63 5268.3
6486.47 5379.8
6489.31 4829.12
6492.16 5213.96
6495 5045.07
6497.85 4927.61
6500.69 5891.15
6503.53 5814.83
6506.38 5448.95
6509.22 5748.45
6512.06 4924.78
6514.9 4623.47
6517.75 5366.09
6520.59 5398.88
6523.43 5446.62
6526.27 5265.17
6529.12 5522.25
6531.96 5341.08
6534.8 4759.12
6537.64 4831.01
6540.48 5118.64
6543.32 5765.17
6546.16 5535.5
6549.01 5305.79
6551.85 5009.61
6554.69 4887.63
6557.53 5229.94
6560.37 5350.85
6563.21 5479.63
6566.05 5615.06
6568.89 5534.76
6571.73 4790.84
6574.57 4969.2
6577.41 5022.37
6580.25 4853.89
6583.09 4904.32
6585.93 5146.85
6588.76 5717.3
6591.6 5140.59
6594.44 5098.04
6597.28 5545.21
6600.12 5746.18
6602.96 5601.89
6605.79 5403.65
6608.63 5292.46
6611.47 5407.11
6614.31 5229.04
6617.15 5115.81
6619.98 5255.28
6622.82 5440.92
6625.66 5165.34
6628.49 5885.82
6631.33 5198.83
6634.17 5420.38
6637 5366.19
6639.84 4889.31
6642.68 5746.18
6645.51 5294.65
6648.35 5014.66
6651.18 4895.32
6654.02 5287.69
6656.85 5102.45
6659.69 5228.36
6662.52 4912.54
6665.36 4844.74
6668.19 5176.6
6671.03 4901.52
6673.86 4683.21
6676.7 5503.64
6679.53 4642.78
6682.37 5023.41
6685.2 4616.42
6688.03 4790.15
6690.87 5546.25
6693.7 4773.7
6696.53 4680.67
6699.37 5170.83
6702.2 5261.33
6705.03 5167.02
6707.86 5293.89
6710.7 5038.51
6713.53 5328.63
6716.36 4912.93
6719.19 4988.53
6722.02 5196.38
6724.86 5175.66
6727.69 4783.95
6730.52 4624.96
6733.35 4877.09
6736.18 4711.13
6739.01 4685.63
6741.84 5032.56
6744.67 4732.92
6747.5 5093.07
6750.33 5197.28
6753.16 5170.08
6755.99 4696.16
6758.82 4767.97
6761.65 5161.21
6764.48 5309.49
6767.31 4393.53
6770.14 5155.89
6772.97 4695.52
6775.8 4860.81
6778.63 4390.49
6781.46 4942.82
6784.28 4523.68
6787.11 4740.68
6789.94 4611.9
6792.77 4415.73
6795.59 5068.27
6798.42 4669.53
6801.25 4692.79
6804.08 4123.67
6806.9 4588.34
6809.73 4640.78
6812.56 4601.1
6815.38 4656.96
6818.21 4519.67
6821.04 4383.1
6823.86 4704.28
6826.69 4378.74
6829.51 4607.32
6832.34 4546.21
6835.16 4679.93
6837.99 4083.41
6840.82 4589.92
6843.64 4571.28
6846.46 5053.17
6849.29 4626.09
6852.11 4271.16
6854.94 4655.66
6857.76 4509.21
6860.59 4026.98
6863.41 4186.55
6866.23 3898.2
6869.06 3446.88
6871.88 3307.28
6874.7 4202.29
6877.53 3962.15
6880.35 4091.69
6883.17 4137.86
6885.99 4231.47
6888.82 4021.78
6891.64 4111.43
6894.46 4129.36
6897.28 4132.96
6900.1 3901.11
6902.92 4135.45
6905.74 4173.11
6908.57 4247.8
6911.39 4398.75
6914.21 4558.33
6917.03 4701.13
6919.85 4340.91
6922.67 4147.16
6925.49 4089.56
6928.31 3930.66
6931.13 4230.49
6933.95 3978.66
6936.77 4278.24
6939.59 4396.49
6942.4 4075.15
6945.22 3952.73
6948.04 4107.72
6950.86 4006.3
6953.68 4039.43
6956.5 4089.62
6959.31 4276.33
6962.13 4136.45
6964.95 4498.03
6967.77 4245.25
6970.58 4181.37
6973.4 4441.05
6976.22 4424.37
6979.04 4177.85
6981.85 4487.67
6984.67 4229.1
6987.48 4041.22
6990.3 4510.96
6993.12 4117.89
6995.93 4172.55
6998.75 4664.75
7001.56 3764.97
7004.38 3958.17
7007.19 3826.2
7010.01 4023.64
7012.82 4172.11
7015.64 4212.38
7018.45 4666.3
7021.27 3443.32
7024.08 4276.5
7026.89 3603.03
7029.71 4140.99
7032.52 3940.73
7035.33 4295.84
7038.15 3930.33
7040.96 4139.8
7043.77 4007.67
7046.58 4000.5
7049.4 3606.81
7052.21 3998.65
7055.02 3732.2
7057.83 3592.28
7060.64 4119.52
7063.45 3912.91
7066.27 4084.69
7069.08 4046.54
7071.89 4121.09
7074.7 3829.07
7077.51 4009.51
7080.32 3726.49
7083.13 3991.26
7085.94 3781.17
7088.75 3667.07
7091.56 4027.72
7094.37 3566.84
7097.18 3869.65
7099.99 3529.44
7102.8 3584.27
7105.6 4255.61
7108.41 3993.96
7111.22 3450.37
7114.03 4248.83
7116.84 3768.13
7119.64 4357.17
7122.45 4368.97
7125.26 4006.8
7128.07 3704.58
7130.87 3765.26
7133.68 3935.75
7136.49 4112.85
7139.29 3979.55
7142.1 4106.89
7144.91 4175.56
7147.71 3515.16
7150.52 4083.11
7153.32 4124.71
7156.13 3959.65
7158.93 3651.27
7161.74 3541.08
7164.54 3943.49
7167.35 3463.84
7170.15 3897.71
7172.96 3810.32
7175.76 3221.14
7178.56 3916.01
7181.37 3577.23
7184.17 3560.55
7186.97 3419.72
7189.78 3137.06
7192.58 3340.69
7195.38 3238.02
7198.19 3187.48
7200.99 3366.8
7203.79 3564.05
7206.59 3891.8
7209.39 3982.91
7212.2 3855.96
7215 3545.07
7217.8 3920.46
7220.6 3888.07
7223.4 4284.7
7226.2 4159.7
7229 3664.38
7231.8 3567.59
7234.6 3876.56
7237.4 3309.72
7240.2 4116.22
7243 3588.77
7245.8 4024.95
7248.6 3211.32
7251.4 3746.47
7254.2 3322.77
7256.99 4002.54
7259.79 4276.79
7262.59 4072.03
7265.39 3552.34
7268.19 3543.64
7270.98 3999.9
7273.78 3951.09
7276.58 4410.92
7279.38 3848.83
7282.17 3887.41
7284.97 3674.77
7287.76 3537.92
7290.56 3974.32
7293.36 4336.93
7296.15 3878
7298.95 3361.02
7301.74 3472.54
7304.54 3393.08
7307.33 3266.67
7310.13 3558.97
7312.92 3771.38
7315.72 3880.68
7318.51 3670.8
7321.31 3668.93
7324.1 4387.2
7326.89 4033.38
7329.69 3562.45
7332.48 3508.74
7335.27 3614.4
7338.06 3197.89
7340.86 3845.2
7343.65 3582.06
7346.44 3312.87
7349.23 3589.99
7352.03 3548.95
7354.82 2813.26
7357.61 3953.81
7360.4 3112.86
7363.19 4023.37
7365.98 3848.69
7368.77 3937.37
7371.56 2634.39
7374.35 2712.97
7377.14 3897.8
7379.93 3635.54
7382.72 3229.32
7385.51 3309.13
7388.3 3359.98
7391.09 4061.93
7393.88 3484.34
7396.67 3610.7
7399.45 2829.24
7402.24 3589.05
7405.03 3573.66
7407.82 3163.88
7410.61 3126.18
7413.39 3542.06
7416.18 3207.24
7418.97 3480.58
7421.75 3699.45
7424.54 3373.12
7427.33 3185.23
7430.11 2922.56
7432.9 3391.04
7435.68 3638.27
7438.47 3227.22
7441.25 3226.65
7444.04 2903.94
7446.82 3619.9
7449.61 2867.76
7452.39 3169.26
7455.18 3728.24
7457.96 3407.51
7460.74 3672.24
7463.53 3033.61
7466.31 2988.5
7469.09 2987.98
7471.88 3506.71
7474.66 3262.03
7477.44 3494.1
7480.23 3186.17
7483.01 3728.18
7485.79 3833.54
7488.57 3110.85
7491.35 3263.2
7494.13 3324.16
7496.91 3685.53
7499.69 3183.71
7502.48 3173.09
7505.26 3113.43
7508.04 3173.32
7510.82 2970.39
7513.6 2871.31
7516.38 3636.4
7519.15 2998.36
7521.93 3444.19
7524.71 2946.43
7527.49 3519.38
7530.27 3142.21
7533.05 3044
7535.83 2787.62
7538.6 3366.02
7541.38 2693.5
7544.16 2710.63
7546.94 2823.14
7549.71 3030.84
7552.49 2610.21
7555.27 3269.93
7558.04 3025.57
7560.82 3109.98
7563.59 2791.51
7566.37 3034.01
7569.15 2845.52
7571.92 2949.76
7574.7 3317.32
7577.47 3062.78
7580.24 2822.87
7583.02 3136.31
7585.79 3107.64
7588.57 3070.8
7591.34 2502.94
7594.11 2272.26
7596.89 1541.65
7599.66 948.52
7602.43 465.812
7605.21 1122.95
7607.98 1238.23
7610.75 1230.74
7613.52 1340.45
7616.29 1951.64
7619.07 1559.75
7621.84 1571.91
7624.61 1716.1
7627.38 1634.3
7630.15 1685.85
7632.92 2215.87
7635.69 1741.8
7638.46 1982.4
7641.23 1940.29
7644 2384.17
7646.77 2215.57
7649.54 2278.83
7652.31 2200.37
7655.07 2398.8
7657.84 2146.29
7660.61 2546.83
7663.38 2478.98
7666.15 2362.77
