#OBJECT = AT2020swy
#MJD-OBS = 59160.381296
#DATE-OBS = 2020-11-07T09:09:04
#EXPTIME = 2020.000000
#AIRMASS = 1.895000
#
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
4493.440000 5.372074e-17 1.986332e-34
4495.820000 5.558143e-17 2.021662e-34
4498.200000 5.586018e-17 2.046337e-34
4500.580000 6.739689e-17 2.045982e-34
4502.960000 6.354576e-17 2.037640e-34
4505.340000 4.373474e-17 2.021001e-34
4507.720000 4.747232e-17 2.020313e-34
4510.100000 3.908169e-17 2.023293e-34
4512.480000 4.497648e-17 2.005159e-34
4514.860000 4.332628e-17 1.980098e-34
4517.240000 3.924393e-17 1.985429e-34
4519.620000 3.948978e-17 2.021392e-34
4522.000000 3.167814e-17 2.025572e-34
4524.380000 4.616225e-17 2.012110e-34
4526.760000 4.912079e-17 1.994536e-34
4529.140000 5.439391e-17 1.970953e-34
4531.520000 3.007851e-17 1.968996e-34
4533.900000 2.508743e-17 1.930392e-34
4536.280000 2.698077e-17 1.935209e-34
4538.660000 1.641282e-17 1.939745e-34
4541.040000 3.705404e-17 1.989123e-34
4543.420000 4.528315e-17 2.021173e-34
4545.800000 5.265455e-17 2.024140e-34
4548.180000 4.491341e-17 1.990649e-34
4550.560000 4.060367e-17 1.952644e-34
4552.940000 2.838471e-17 1.924921e-34
4555.320000 4.640187e-17 1.942239e-34
4557.700000 4.026973e-17 1.950179e-34
4560.080000 2.127869e-17 1.908855e-34
4562.460000 2.981626e-17 1.896196e-34
4564.840000 5.507328e-17 1.977697e-34
4567.220000 4.493166e-17 1.939374e-34
4569.600000 1.576263e-17 1.893719e-34
4571.980000 1.287618e-18 1.893899e-34
4574.360000 2.996632e-17 1.984212e-34
4576.740000 2.645076e-17 1.971545e-34
4579.120000 6.156911e-18 1.952149e-34
4581.500000 3.433812e-17 1.979308e-34
4583.880000 5.070808e-17 1.955036e-34
4586.260000 1.973831e-17 1.896776e-34
4588.640000 2.443885e-17 1.932096e-34
4591.020000 3.505709e-17 1.923123e-34
4593.400000 3.249023e-17 1.902371e-34
4595.780000 4.165668e-17 1.938762e-34
4598.160000 2.601203e-17 1.891892e-34
4600.540000 2.222388e-17 1.881093e-34
4602.920000 3.108969e-17 1.896638e-34
4605.300000 5.482541e-17 1.941897e-34
4607.680000 3.247981e-17 1.927685e-34
4610.060000 1.830724e-17 1.922774e-34
4612.440000 1.872614e-17 1.905921e-34
4614.820000 2.148176e-17 1.901677e-34
4617.200000 3.836185e-17 1.921529e-34
4619.580000 2.655074e-17 1.919666e-34
4621.960000 3.215264e-17 1.915856e-34
4624.340000 3.515178e-17 1.878872e-34
4626.720000 4.077836e-17 1.866728e-34
4629.100000 4.993966e-17 1.877966e-34
4631.480000 6.393483e-17 1.877379e-34
4633.860000 6.078319e-17 1.895131e-34
4636.240000 4.887691e-17 1.838760e-34
4638.620000 4.303691e-17 1.799757e-34
4641.000000 4.390937e-17 1.799854e-34
4643.380000 3.496880e-17 1.773164e-34
4645.760000 3.701435e-17 1.794739e-34
4648.140000 3.708574e-17 1.811199e-34
4650.520000 2.802391e-17 1.789363e-34
4652.900000 4.213112e-17 1.797994e-34
4655.280000 3.550273e-17 1.765549e-34
4657.660000 3.463361e-17 1.771525e-34
4660.040000 1.412680e-17 1.751187e-34
4662.420000 3.548526e-17 1.730036e-34
4664.800000 4.729134e-17 1.731699e-34
4667.180000 4.887015e-17 1.728129e-34
4669.560000 4.326104e-17 1.727250e-34
4671.940000 6.075552e-17 1.785944e-34
4674.320000 6.662757e-17 1.848700e-34
4676.700000 6.398621e-17 1.842926e-34
4679.080000 5.119966e-17 1.848318e-34
4681.460000 6.562005e-17 1.847709e-34
4683.840000 7.473518e-17 1.869038e-34
4686.220000 7.087199e-17 1.890521e-34
4688.600000 5.170179e-17 1.829038e-34
