BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  573  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1989B NAR - APERTURE 1'  /
FILENAME= 'CTIO_60_RED_06FEB89'  /
9658.63694600001  2.018431E-14
9666.9343074  2.018273E-14
9675.2316688  2.105091E-14
9683.5290302  2.107436E-14
9691.8263916  2.208535E-14
9700.123753  2.318339E-14
9708.4211144  2.276544E-14
9716.7184758  2.261965E-14
9725.0158372  2.233972E-14
9733.31319860001  2.168755E-14
9741.61056000001  2.059509E-14
9749.9079214  2.115130E-14
9758.2052828  2.123589E-14
9766.5026442  2.041544E-14
9774.8000056  2.213549E-14
9783.097367  2.112759E-14
9791.3947284  2.174988E-14
9799.6920898  2.075363E-14
9807.9894512  2.070735E-14
9816.2868126  2.262822E-14
9824.584174  2.114011E-14
9832.8815354  2.030660E-14
9841.1788968  2.115935E-14
9849.4762582  2.153335E-14
9857.77361960001  2.072401E-14
9866.070981  2.053691E-14
9874.36834240001  2.163971E-14
9882.6657038  2.199236E-14
9890.9630652  1.998247E-14
9899.2604266  1.760208E-14
9907.557788  1.850079E-14
9915.8551494  2.004749E-14
9924.1525108  1.987298E-14
9932.44987220001  1.800780E-14
9940.7472336  1.814716E-14
9949.044595  2.101904E-14
9957.3419564  2.000628E-14
9965.6393178  1.662425E-14
9973.9366792  1.468198E-14
9982.2340406  1.531075E-14
9990.531402  1.582348E-14
9998.8287634  1.526763E-14
10007.1261248  1.093270E-14
10015.4234862  1.418216E-14
10023.7208476  1.499669E-14
10032.018209  1.180682E-14
10040.3155704  1.275936E-14
10048.6129318  1.385198E-14
10056.9102932  1.235690E-14
10065.2076546  1.228729E-14
10073.505016  1.114817E-14
10081.8023774  1.166019E-14
10090.0997388  1.121982E-14
10098.3971002  1.060628E-14
10106.6944616  9.327558E-15
10114.991823  1.278666E-14
10123.2891844  1.126266E-14
10131.5865458  8.489190E-15
10139.8839072  7.839119E-15
10148.1812686  1.045354E-14
10156.47863  8.899565E-15
10164.7759914  1.033875E-14
10173.0733528  8.387076E-15
10181.3707142  6.635912E-15
10189.6680756  5.749718E-15
10197.965437  8.124093E-15
10206.2627984  7.202323E-15
10214.5601598  8.439209E-15
10222.8575212  5.261121E-15
10231.1548826  4.785232E-15
10239.452244  4.272482E-15
10247.7496054  7.459008E-15
10256.0469668  6.202915E-15
10264.3443282  1.003794E-14
10272.6416896  6.940493E-15
10280.939051  4.014995E-15
10289.2364124  4.767550E-15
10297.5337738  3.389502E-15
10305.8311352  7.296572E-15
10314.1284966  5.169660E-15
10322.425858  3.934081E-15
10330.7232194  4.097101E-15
10339.0205808  1.594949E-15
10347.3179422  2.165075E-15
10355.6153036  3.767337E-15
10363.912665  2.300070E-15
10372.2100264  1.113543E-15
10380.5073878  3.257036E-15
10388.8047492  1.086219E-15
10397.1021106  1.893349E-15
10405.399472  3.353561E-15
10413.6968334  1.279106E-15
10421.9941948  3.084902E-15
10430.2915562  3.205819E-15
10438.5889176  6.828269E-16
10446.886279  9.681215E-16
10455.1836404  9.535096E-16
10463.4810018  3.568279E-15
10471.7783632  4.060315E-15
10480.0757246  2.575441E-15
10488.373086  2.730080E-15
10496.6704474  1.288971E-15
10504.9678088  7.259075E-16
10513.2651702  1.181116E-15
10521.5625316  4.917101E-16
10529.859893  9.498049E-16
10538.1572544  1.477276E-15
10546.4546158  4.296529E-16
10554.7519772  3.050007E-15
10563.0493386  2.622529E-15
10571.3467  2.135750E-15
10579.6440614  5.638110E-15
10587.9414228  5.311330E-15
10596.2387842  1.939097E-15
10604.5361456  3.409850E-15
10612.833507  1.745702E-15
10621.1308684  1.907347E-16
10629.4282298  1.535904E-15
10637.7255912  2.585728E-15
10646.0229526  1.551398E-15
10654.320314  -5.941396E-16
10662.6176754  1.702942E-15
10670.9150368  1.445009E-15
10679.2123982  1.596909E-15
10687.5097596  2.671675E-15
10695.807121  -1.393647E-15
10704.1044824  -8.322250E-16
10712.4018438  3.008231E-15
10720.6992052  -2.604878E-15
10728.9965666  -4.130336E-15
10737.293928  -9.800654E-16
10745.5912894  -5.787865E-16
10753.8886508  3.091003E-15
10762.1860122  3.167829E-15
10770.4833736  1.068173E-15
10778.780735  -1.445460E-15
10787.0780964  -2.511345E-15
10795.3754578  -2.225436E-15
10803.6728192  -8.402252E-16
10811.9701806  -2.711113E-15
10820.267542  -3.226843E-15
10828.5649034  1.776204E-15
10836.8622648  1.230917E-15
10845.1596262  4.444397E-16
10853.4569876  1.072091E-15
10861.754349  -8.467543E-16
10870.0517104  -4.062907E-16
10878.3490718  2.886865E-15
10886.6464332  -9.588627E-16
10894.9437946  -9.823200E-16
10903.241156  1.928500E-15
10911.5385174  4.322680E-16
10919.8358788  3.374985E-15
10928.1332402  1.111876E-15
10936.4306016  -1.285414E-15
10944.727963  6.690593E-15
10953.0253244  1.413507E-15
10961.3226858  -2.096269E-15
10969.6200472  6.428727E-18
10977.9174086  -1.675787E-15
10986.21477  2.727834E-15
10994.5121314  -2.300337E-15
11002.8094928  3.429171E-15
11011.1068542  3.093755E-15
11019.4042156  -1.014217E-15
11027.701577  2.269708E-15
11035.9989384  4.099296E-15
11044.2962998  5.483007E-15
11052.5936612  7.312446E-15
11060.8910226  7.524908E-15
11069.188384  4.836273E-15
11077.4857454  9.321194E-15
11085.7831068  1.351834E-14
11094.0804682  1.788584E-14
11102.3778296  2.190352E-14
11110.675191  2.495688E-14
11118.9725524  2.275587E-14
11127.2699138  2.833755E-14
11135.5672752  3.537139E-14
11143.8646366  3.471189E-14
11152.161998  3.486400E-14
11160.4593594  5.049922E-14
11168.7567208  2.341768E-14
