#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457047.79345 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
5240.8 1.2071222e-14 
5242.8 1.2113146e-14 
5244.7 1.2215315e-14 
5246.6 1.2507696e-14 
5248.5 1.2628178e-14 
5250.4 1.2745855e-14 
5252.4 1.2943652e-14 
5254.3 1.3092376e-14 
5256.2 1.3272794e-14 
5258.1 1.3495732e-14 
5260.0 1.3448537e-14 
5262.0 1.3656447e-14 
5263.9 1.3734822e-14 
5265.8 1.3941595e-14 
5267.7 1.3996395e-14 
5269.6 1.4047551e-14 
5271.6 1.4238923e-14 
5273.5 1.4244355e-14 
5275.4 1.4340249e-14 
5277.3 1.43278e-14 
5279.2 1.4369205e-14 
5281.2 1.4725323e-14 
5283.1 1.4774711e-14 
5285.0 1.4816771e-14 
5286.9 1.4674016e-14 
5288.9 1.4800584e-14 
5290.8 1.4941008e-14 
5292.7 1.4951958e-14 
5294.6 1.4921407e-14 
5296.5 1.4940294e-14 
5298.5 1.4950582e-14 
5300.4 1.4952178e-14 
5302.3 1.4867169e-14 
5304.2 1.4871279e-14 
5306.1 1.4906342e-14 
5308.1 1.4921594e-14 
5310.0 1.4835981e-14 
5311.9 1.489366e-14 
5313.8 1.4914804e-14 
5315.7 1.5044763e-14 
5317.7 1.4974874e-14 
5319.6 1.5004957e-14 
5321.5 1.5101579e-14 
5323.4 1.5020153e-14 
5325.3 1.5036453e-14 
5327.3 1.4956166e-14 
5329.2 1.4981996e-14 
5331.1 1.5059785e-14 
5333.0 1.5024986e-14 
5334.9 1.5118765e-14 
5336.9 1.5271547e-14 
5338.8 1.5230526e-14 
5340.7 1.5247074e-14 
5342.6 1.5347711e-14 
5344.6 1.5558328e-14 
5346.5 1.6011937e-14 
5348.4 1.5961454e-14 
5350.3 1.580856e-14 
5352.2 1.589225e-14 
5354.2 1.59554e-14 
5356.1 1.593864e-14 
5358.0 1.5967697e-14 
5359.9 1.6034173e-14 
5361.8 1.6190278e-14 
5363.8 1.6222651e-14 
5365.7 1.6120112e-14 
5367.6 1.6039444e-14 
5369.5 1.6162389e-14 
5371.4 1.629238e-14 
5373.4 1.6328069e-14 
5375.3 1.6160366e-14 
5377.2 1.6314158e-14 
5379.1 1.6595487e-14 
5381.0 1.6582459e-14 
5383.0 1.636446e-14 
5384.9 1.6538744e-14 
5386.8 1.6685362e-14 
5388.7 1.6736319e-14 
5390.6 1.6785572e-14 
5392.6 1.665167e-14 
5394.5 1.683172e-14 
5396.4 1.7056302e-14 
5398.3 1.7063426e-14 
5400.3 1.7198183e-14 
5402.2 1.7270166e-14 
5404.1 1.7491632e-14 
5406.0 1.7740379e-14 
5407.9 1.7844208e-14 
5409.9 1.796717e-14 
5411.8 1.804863e-14 
5413.7 1.8080131e-14 
5415.6 1.8396824e-14 
5417.5 1.864665e-14 
5419.5 1.8806784e-14 
5421.4 1.8940144e-14 
5423.3 1.9057862e-14 
5425.2 1.9190215e-14 
5427.1 1.9432428e-14 
